Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa de Condomínio;Anil;5;0;3;520;4900.0;723.0;519.0;9.42;Casa
Casa de Condomínio;Itanhangá;4;4;4;600;20000.0;1800.0;0.0;33.33;Casa
Casa de Condomínio;Ilha do Governador;3;4;1;160;3500.0;0.0;152.0;21.88;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;2;4;260;7000.0;7068.0;5998.0;26.92;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;980;22000.0;1400.0;800.0;22.45;Casa
Casa de Condomínio;Vargem Grande;2;1;0;75;2000.0;580.0;0.0;26.67;Casa
Casa de Condomínio;Barra da Tijuca;3;2;0;230;5800.0;1400.0;440.0;25.22;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;340;10000.0;1100.0;550.0;29.41;Casa
Casa de Condomínio;Campo Grande;1;0;0;50;700.0;0.0;0.0;14.0;Casa
Casa de Condomínio;Campo Grande;2;1;0;55;1000.0;0.0;0.0;18.18;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;5;4;500;10500.0;1000.0;0.0;21.0;Casa
Casa de Condomínio;Taquara;2;1;0;55;1000.0;450.0;0.0;18.18;Casa
Casa de Condomínio;Barra da Tijuca;5;4;3;622;10000.0;1390.0;1486.0;16.08;Casa
Casa de Condomínio;Barra da Tijuca;4;3;2;434;7500.0;2694.0;1150.0;17.28;Casa
Casa de Condomínio;Vargem Grande;5;3;5;300;6000.0;1300.0;200.0;20.0;Casa
Casa de Condomínio;Barra da Tijuca;5;4;4;622;10000.0;1390.0;1486.0;16.08;Casa
Casa de Condomínio;Jacarepaguá;2;1;1;90;1700.0;208.0;35.0;18.89;Casa
Casa de Condomínio;Barra da Tijuca;6;8;0;924;13000.0;2214.0;1060.0;14.07;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;850;18009.0;1560.0;0.0;21.19;Casa
Casa de Condomínio;Joá;6;3;5;300;25000.0;0.0;0.0;83.33;Casa
Casa de Condomínio;Barra da Tijuca;8;4;4;986;15000.0;1543.0;2082.0;15.21;Casa
Casa de Condomínio;Barra da Tijuca;4;4;2;360;6500.0;1145.0;889.0;18.06;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;320;9000.0;500.0;5000.0;28.12;Casa
Casa de Condomínio;Barra da Tijuca;4;3;2;410;8500.0;870.0;8100.0;20.73;Casa
Casa de Condomínio;Jacarepaguá;3;5;2;250;4000.0;250.0;348.0;16.0;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;241;4000.0;900.0;0.0;16.6;Casa
Casa de Condomínio;Barra da Tijuca;4;3;2;260;8000.0;900.0;530.0;30.77;Casa
Casa de Condomínio;Barra da Tijuca;4;0;1;265;12000.0;870.0;5232.0;45.28;Casa
Casa de Condomínio;Taquara;4;4;2;680;4500.0;400.0;300.0;6.62;Casa
Casa de Condomínio;Anil;3;1;1;405;4200.0;700.0;388.0;10.37;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;600;15000.0;2200.0;1000.0;25.0;Casa
Casa de Condomínio;Barra da Tijuca;5;4;4;622;10000.0;1390.0;1514.0;16.08;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;4;2;240;4200.0;1500.0;360.0;17.5;Casa
Casa de Condomínio;Taquara;4;4;4;300;5000.0;690.0;0.0;16.67;Casa
Casa de Condomínio;Taquara;4;3;4;320;5000.0;690.0;0.0;15.62;Casa
Casa de Condomínio;Cosme Velho;4;3;1;379;15000.0;1100.0;536.0;39.58;Casa
Casa de Condomínio;Vargem Grande;3;3;1;150;2500.0;150.0;0.0;16.67;Casa
Casa de Condomínio;Recreio dos Bandeirantes;5;3;5;350;6000.0;495.0;296.0;17.14;Casa
Casa de Condomínio;Gávea;4;2;2;500;12000.0;579.0;1438.0;24.0;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;1000;24000.0;2214.0;1980.0;24.0;Casa
Casa de Condomínio;Itanhangá;4;8;4;1800;20000.0;0.0;0.0;11.11;Casa
Casa de Condomínio;Campo Grande;2;1;0;70;700.0;50.0;0.0;10.0;Casa
Casa de Condomínio;Barra da Tijuca;4;3;1;400;8500.0;970.0;0.0;21.25;Casa
Casa de Condomínio;Barra da Tijuca;4;4;3;622;9991.0;1380.0;1486.0;16.06;Casa
Casa de Condomínio;Taquara;3;5;1;272;3600.0;400.0;2246.0;13.24;Casa
Casa de Condomínio;Barra da Tijuca;5;4;5;600;10000.0;1600.0;0.0;16.67;Casa
Casa de Condomínio;Barra da Tijuca;5;1;2;250;9000.0;1650.0;500.0;36.0;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;3;3;153;3650.0;900.0;1.0;23.86;Casa
Casa de Condomínio;Recreio dos Bandeirantes;5;4;4;800;12000.0;1000.0;1300.0;15.0;Casa
Casa de Condomínio;Guaratiba;3;1;0;65;900.0;170.0;0.0;13.85;Casa
Casa de Condomínio;Barra da Tijuca;4;3;4;263;7000.0;707.0;0.0;26.62;Casa
Casa de Condomínio;Barra da Tijuca;5;0;5;1000;25000.0;1300.0;1600.0;25.0;Casa
Casa de Condomínio;Barra da Tijuca;4;3;3;266;7900.0;1600.0;6295.0;29.7;Casa
Casa de Condomínio;Barra da Tijuca;4;6;4;763;11000.0;800.0;2040.0;14.42;Casa
Casa de Condomínio;Barra da Tijuca;5;5;4;806;30000.0;2695.0;2753.0;37.22;Casa
Casa de Condomínio;Barra da Tijuca;4;4;2;600;30000.0;1100.0;1300.0;50.0;Casa
